City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,port macquarie,-31.4333,152.9167,13.83,89,37,3.08,AU,1684016220
261,hassi messaoud,31.6804,6.0729,29.92,19,79,8.23,DZ,1684016220
262,dallas,32.7668,-96.7836,29.81,53,75,4.63,US,1684015978
263,chernihiv,51.0,32.0,11.94,86,82,2.39,UA,1684016221
264,haimen,23.1935,116.6142,21.94,88,100,0.19,CN,1684016221
265,greenwood,34.1668,-82.1165,27.67,67,20,4.12,US,1684016071
266,muynoq,43.7683,59.0214,17.99,42,5,2.82,UZ,1684015965
267,kavaratti,10.5669,72.642,29.04,76,98,2.32,IN,1684016222
268,puerto cabezas,14.0351,-83.3888,29.98,74,75,3.09,NI,1684016223
269,st. john's,47.5649,-52.7093,6.61,79,67,2.68,CA,1684015766
270,levuka,50.1834,-105.4011,21.84,37,58,4.74,CA,1684016224
271,cannonvale,-20.2833,148.7,20.66,82,96,7.33,AU,1684015976
272,praia da vitoria,38.7333,-27.0667,18.75,88,100,2.47,PT,1684016080
273,mukalla,14.5425,49.1242,29.05,68,0,0.4,YE,1684016225
274,asmar,35.0333,71.3581,19.48,55,96,4.12,AF,1684016225
275,hamilton,39.1834,-84.5333,26.05,74,40,5.14,US,1684015825
276,port saint john's,-31.6229,29.5448,18.25,89,100,3.52,ZA,1684016231
277,coromandel,-18.4733,-47.2003,16.7,65,0,2.16,BR,1684016231
278,kangding,30.0513,101.9603,8.23,67,100,2.29,CN,1684016232
279,udachny,66.4167,112.4,-3.64,79,100,3.56,RU,1684015843
280,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,57,0,3.0,RU,1684015843
281,fale old settlement,-9.3852,-171.2468,28.79,76,50,5.36,TK,1684015837
282,turpan,42.9333,89.1667,26.59,23,74,2.4,CN,1684016233
283,crane,31.3974,-102.3501,23.0,46,98,6.29,US,1684015920
284,kalifornsky,60.4183,-151.29,12.19,50,40,5.66,US,1684016033
285,minas de marcona,-15.2119,-75.1103,18.11,70,17,2.42,PE,1684016060
286,kruisfontein,-34.0033,24.7314,13.82,89,100,7.1,ZA,1684016235
287,puerto madero,14.7208,-92.4215,34.11,52,0,5.14,MX,1684016235
288,tual,-5.6667,132.75,28.34,79,93,4.65,ID,1684015985
289,hobyo,5.3505,48.5268,27.26,84,58,8.6,SO,1684015979
290,louis trichardt,-23.0439,29.9032,15.53,86,0,3.06,ZA,1684016236
291,almenara,-16.1836,-40.6944,23.95,80,90,0.93,BR,1684016236
292,santa luzia,-19.7697,-43.8514,21.5,68,1,1.42,BR,1684015988
293,batie,9.8833,-2.9167,27.79,62,86,2.75,BF,1684016237
294,sydney,-33.8679,151.2073,14.61,91,20,3.6,AU,1684015877
295,kone,-21.0595,164.8658,24.06,72,100,3.06,NC,1684015868
